participant_id	species	sex	strain
sub-ant1-m10-d11-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m10-d6-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m4-d21-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m4-d26-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant1-m4-d27-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m10-d11-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m2-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m4-d20-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m4-d21-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m4-d26-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant2-m4-d27-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m10-d11-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m10-d6-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m2-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m4-d21-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m4-d26-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant3-m4-d27-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m2-d10-y2023	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m4-d20-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant4-m4-d26-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant5-m10-d11-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
sub-ant5-m4-d26-y2022	http://purl.obolibrary.org/obo/NCBITaxon_2015173	F	clonal line B, transgenic insertions: ie1-DsRed, ObirOrco-QF2, 15xQUAS-GCaMP6s
