session_id	original_session_id
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z0um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z0um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z100um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z100um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z105um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z105um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z10um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z10um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z110um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z110um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z115um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z115um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z120um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z120um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z125um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z125um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z130um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z130um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z135um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z135um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z140um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z140um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z145um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z145um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z150um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z150um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z155um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z155um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z15um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z15um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z160um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z160um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z20um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z20um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z25um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z25um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z30um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z30um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z35um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z35um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z40um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z40um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z45um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z45um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z50um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z50um
ses-m10+d11+y2022+ant3+0+48x+3+hexanone+40+t174+z55um	ses-m10-d11-y2022-ant3-0.48x-3-hexanone-40-t174-z55um
