session_id	original_session_id
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z0um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z0um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z100um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z100um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z105um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z105um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z10um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z10um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z110um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z110um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z115um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z115um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z120um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z120um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z125um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z125um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z130um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z130um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z135um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z135um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z140um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z140um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z145um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z145um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z150um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z150um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z155um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z155um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z15um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z15um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z160um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z160um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z20um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z20um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z25um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z25um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z30um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z30um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z35um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z35um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z40um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z40um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z45um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z45um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z50um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z50um
ses-m10+d11+y2022+ant1+0+48x+3+hexanone+40+t125+z55um	ses-m10-d11-y2022-ant1-0.48x-3-hexanone-40-t125-z55um
